Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
compass-tee-concrete-grey,,,,,,,,M,,Concrete Grey,LC-COMCONGRE-M,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-side.jpg,3,Compass Tee — Concrete Grey — Side,,,,,g,
compass-tee-concrete-grey,,,,,,,,L,,Concrete Grey,LC-COMCONGRE-L,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-fit.jpg,4,Compass Tee — Concrete Grey — Fit,,,,,g,
compass-tee-concrete-grey,,,,,,,,XL,,Concrete Grey,LC-COMCONGRE-XL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-detail.jpg,5,Compass Tee — Concrete Grey — Detail,,,,,g,
compass-tee-concrete-grey,,,,,,,,XXL,,Concrete Grey,LC-COMCONGRE-XXL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-print.jpg,6,Compass Tee — Concrete Grey — Print,,,,,g,
compass-tee-concrete-grey,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-fabric.jpg,7,Compass Tee — Concrete Grey — Fabric,,,,,,
compass-tee-concrete-grey,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/compass-tee-concrete-grey-label.jpg,8,Compass Tee — Concrete Grey — Label,,,,,,
roads-tee-forest-green,Roads Tee,"<p>Washed forest green. LC monogram and compass star on the chest.</p><p>On the back: International Street Sports over the gothic LANE CHANGE wordmark, the globe and compass star, Same Roads, Different Lanes and More Than Cars, A Mindset — Designed To Win, Est. 2025.</p><h6>Fit</h6><ul><li>Oversized, boxy fit — take your usual size for the intended drape.</li><li>Dropped shoulders, wide short sleeves, cropped straight hem.</li><li>Model is 183cm and wears size L.</li></ul><h6>Fabric</h6><ul><li>100% cotton heavyweight jersey.</li><li>Garment dyed and mineral washed for a lived-in, uneven finish.</li><li>Ribbed crew neck. Woven LC neck label.</li><li>Screen-printed chest emblem and oversized back graphic.</li></ul><h6>Care</h6><ul><li>Cold wash inside out with similar colours.</li><li>Each piece is washed individually — tone and pattern will vary.</li><li>Hang dry. Do not tumble dry. Do not iron the print.</li></ul>",Lane Change,T-Shirt,"tees, core-washed, tees, family:core-washed-tee, swatch:#3c4338",TRUE,Size,XS,Color,Washed Forest Green,LC-ROAFORGRE-XS,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-front.jpg,1,Roads Tee — Washed Forest Green — Front,FALSE,Roads Tee — Washed Forest Green | Lane Change,"LC emblem front. Gothic LANE CHANGE, globe and compass star back — Same Roads, Different Lanes. International Street Sports. Australian born, global minded.",,g,active
roads-tee-forest-green,,,,,,,,S,,Washed Forest Green,LC-ROAFORGRE-S,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-back.jpg,2,Roads Tee — Washed Forest Green — Back,,,,,g,
roads-tee-forest-green,,,,,,,,M,,Washed Forest Green,LC-ROAFORGRE-M,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-side.jpg,3,Roads Tee — Washed Forest Green — Side,,,,,g,
roads-tee-forest-green,,,,,,,,L,,Washed Forest Green,LC-ROAFORGRE-L,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-fit.jpg,4,Roads Tee — Washed Forest Green — Fit,,,,,g,
roads-tee-forest-green,,,,,,,,XL,,Washed Forest Green,LC-ROAFORGRE-XL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-detail.jpg,5,Roads Tee — Washed Forest Green — Detail,,,,,g,
roads-tee-forest-green,,,,,,,,XXL,,Washed Forest Green,LC-ROAFORGRE-XXL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-print.jpg,6,Roads Tee — Washed Forest Green — Print,,,,,g,
roads-tee-forest-green,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-fabric.jpg,7,Roads Tee — Washed Forest Green — Fabric,,,,,,
roads-tee-forest-green,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/roads-tee-forest-green-label.jpg,8,Roads Tee — Washed Forest Green — Label,,,,,,
checker-tee-faded-blue,Checker Tee,"<p>Faded blue with cracked white ink. LC monogram and compass star on the chest.</p><p>Across the back: gothic LANE CHANGE over a distressed chequered flag, Drive Your Own Direction, and a row of Lane Change marks around the globe.</p><h6>Fit</h6><ul><li>Oversized, boxy fit — take your usual size for the intended drape.</li><li>Dropped shoulders, wide short sleeves, cropped straight hem.</li><li>Model is 183cm and wears size L.</li></ul><h6>Fabric</h6><ul><li>100% cotton heavyweight jersey.</li><li>Garment dyed and mineral washed for a lived-in, uneven finish.</li><li>Ribbed crew neck. Woven LC neck label.</li><li>Screen-printed chest emblem and oversized back graphic.</li></ul><h6>Care</h6><ul><li>Cold wash inside out with similar colours.</li><li>Each piece is washed individually — tone and pattern will vary.</li><li>Hang dry. Do not tumble dry. Do not iron the print.</li></ul>",Lane Change,T-Shirt,"tees, core-washed, tees, family:core-washed-tee, swatch:#46516a",TRUE,Size,XS,Color,Faded Blue,LC-CHEFADBLU-XS,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-front.jpg,1,Checker Tee — Faded Blue — Front,FALSE,Checker Tee — Faded Blue | Lane Change,"LC emblem front. Distressed chequered flag under LANE CHANGE back — Drive Your Own Direction. International Street Sports. Australian born, global minded.",,g,active
checker-tee-faded-blue,,,,,,,,S,,Faded Blue,LC-CHEFADBLU-S,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-back.jpg,2,Checker Tee — Faded Blue — Back,,,,,g,
checker-tee-faded-blue,,,,,,,,M,,Faded Blue,LC-CHEFADBLU-M,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-side.jpg,3,Checker Tee — Faded Blue — Side,,,,,g,
checker-tee-faded-blue,,,,,,,,L,,Faded Blue,LC-CHEFADBLU-L,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-fit.jpg,4,Checker Tee — Faded Blue — Fit,,,,,g,
checker-tee-faded-blue,,,,,,,,XL,,Faded Blue,LC-CHEFADBLU-XL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-detail.jpg,5,Checker Tee — Faded Blue — Detail,,,,,g,
checker-tee-faded-blue,,,,,,,,XXL,,Faded Blue,LC-CHEFADBLU-XXL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-print.jpg,6,Checker Tee — Faded Blue — Print,,,,,g,
checker-tee-faded-blue,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-fabric.jpg,7,Checker Tee — Faded Blue — Fabric,,,,,,
checker-tee-faded-blue,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/checker-tee-faded-blue-label.jpg,8,Checker Tee — Faded Blue — Label,,,,,,
beyond-limits-tee-dusty-pink,Beyond Limits Tee,"<p>Dusty pink with washed black ink. LC monogram and compass star on the chest.</p><p>On the back: gothic LANE CHANGE over a high-contrast portrait print, International Street Sports, Est. 2025, AUS — Worldwide.</p><h6>Fit</h6><ul><li>Oversized, boxy fit — take your usual size for the intended drape.</li><li>Dropped shoulders, wide short sleeves, cropped straight hem.</li><li>Model is 183cm and wears size L.</li></ul><h6>Fabric</h6><ul><li>100% cotton heavyweight jersey.</li><li>Garment dyed and mineral washed for a lived-in, uneven finish.</li><li>Ribbed crew neck. Woven LC neck label.</li><li>Screen-printed chest emblem and oversized back graphic.</li></ul><h6>Care</h6><ul><li>Cold wash inside out with similar colours.</li><li>Each piece is washed individually — tone and pattern will vary.</li><li>Hang dry. Do not tumble dry. Do not iron the print.</li></ul>",Lane Change,T-Shirt,"tees, core-washed, tees, family:core-washed-tee, swatch:#b47a7c",TRUE,Size,XS,Color,Dusty Pink,LC-BEYLIMDUSPIN-XS,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-front.jpg,1,Beyond Limits Tee — Dusty Pink — Front,FALSE,Beyond Limits Tee — Dusty Pink | Lane Change,"Black LC emblem front. Gothic LANE CHANGE over a portrait print back. International Street Sports. Australian born, global minded.",,g,active
beyond-limits-tee-dusty-pink,,,,,,,,S,,Dusty Pink,LC-BEYLIMDUSPIN-S,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-back.jpg,2,Beyond Limits Tee — Dusty Pink — Back,,,,,g,
beyond-limits-tee-dusty-pink,,,,,,,,M,,Dusty Pink,LC-BEYLIMDUSPIN-M,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-side.jpg,3,Beyond Limits Tee — Dusty Pink — Side,,,,,g,
beyond-limits-tee-dusty-pink,,,,,,,,L,,Dusty Pink,LC-BEYLIMDUSPIN-L,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-fit.jpg,4,Beyond Limits Tee — Dusty Pink — Fit,,,,,g,
beyond-limits-tee-dusty-pink,,,,,,,,XL,,Dusty Pink,LC-BEYLIMDUSPIN-XL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-detail.jpg,5,Beyond Limits Tee — Dusty Pink — Detail,,,,,g,
beyond-limits-tee-dusty-pink,,,,,,,,XXL,,Dusty Pink,LC-BEYLIMDUSPIN-XXL,300,shopify,25,deny,manual,70.00,,TRUE,TRUE,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-print.jpg,6,Beyond Limits Tee — Dusty Pink — Print,,,,,g,
beyond-limits-tee-dusty-pink,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-fabric.jpg,7,Beyond Limits Tee — Dusty Pink — Fabric,,,,,,
beyond-limits-tee-dusty-pink,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/angusj7000/Lane-Change/claude/lane-change-ecommerce-vpotvs/src/assets/images/products/beyond-limits-tee-dusty-pink-label.jpg,8,Beyond Limits Tee — Dusty Pink — Label,,,,,,
